slope_bin,count,mean_speed,std_speed,median_speed,mean_slope,binned_r2,regression_coef,regression_intercept
"(-35, -30]",0,,,,,1.0,-0.6319742489270386,4.36856008583691
"(-30, -25]",0,,,,,1.0,-0.6319742489270386,4.36856008583691
"(-25, -20]",0,,,,,1.0,-0.6319742489270386,4.36856008583691
"(-20, -15]",0,,,,,1.0,-0.6319742489270386,4.36856008583691
"(-15, -10]",0,,,,,1.0,-0.6319742489270386,4.36856008583691
"(-10, -5]",1,7.104,,7.104,-6.927,1.0,-0.6319742489270386,4.36856008583691
"(-5, 0]",78,4.567,2.044,5.464,-0.314,1.0,-0.6319742489270386,4.36856008583691
"(0, 5]",42,3.978,2.455,5.184,0.618,1.0,-0.6319742489270386,4.36856008583691
"(5, 10]",1,5.649,,5.649,7.342,1.0,-0.6319742489270386,4.36856008583691
"(10, 15]",0,,,,,1.0,-0.6319742489270386,4.36856008583691
"(15, 20]",0,,,,,1.0,-0.6319742489270386,4.36856008583691
"(20, 25]",0,,,,,1.0,-0.6319742489270386,4.36856008583691
"(25, 30]",0,,,,,1.0,-0.6319742489270386,4.36856008583691
"(30, 35]",0,,,,,1.0,-0.6319742489270386,4.36856008583691
